epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4916,1.13689,0.80907,0.00787,0.86793,0.83893,0.79916,0.63257,0.94748,0.64915,0.00863,0.00014,0.00014,0.00014
2,41.2413,1.25772,1.02802,0.01029,0.8431,0.8384,0.811,0.64391,0.91644,0.65987,0.00807,0.00029406,0.00029406,0.00029406
3,48.7656,1.12418,0.8038,0.00766,0.85457,0.8335,0.82181,0.63172,1.01062,0.69583,0.00884,0.000441784,0.000441784,0.000441784
4,57.2036,1.16589,0.86257,0.00883,0.84837,0.85461,0.83083,0.66065,0.93025,0.67693,0.00872,0.000583172,0.000583172,0.000583172
5,64.3822,1.15661,0.81837,0.008,0.85736,0.83688,0.82842,0.65531,0.93391,0.7017,0.00889,0.000718224,0.000718224,0.000718224
6,76.2141,1.13381,0.83192,0.00823,0.84358,0.84397,0.82715,0.64692,0.99225,0.68504,0.00927,0.00084694,0.00084694,0.00084694
7,84.5577,1.19065,0.87871,0.00815,0.84021,0.84752,0.82662,0.64649,0.98338,0.68512,0.00931,0.00096932,0.00096932,0.00096932
8,92.88,1.30078,0.93765,0.00906,0.83574,0.84752,0.82261,0.62006,1.06787,0.68646,0.00984,0.00108536,0.00108536,0.00108536
9,103.352,1.15629,0.85237,0.00809,0.84805,0.8617,0.83629,0.61789,1.05516,0.67142,0.0089,0.00119507,0.00119507,0.00119507
10,110.671,1.16952,0.85097,0.00892,0.85765,0.84397,0.83598,0.59946,1.1611,0.70193,0.00937,0.00129844,0.00129844,0.00129844
11,119.974,1.17059,0.88806,0.00886,0.851,0.82624,0.83276,0.59444,1.11539,0.72315,0.00907,0.00139548,0.00139548,0.00139548
12,129.543,1.12904,0.83169,0.00853,0.86115,0.84043,0.83502,0.62567,0.99073,0.68911,0.00863,0.00148618,0.00148618,0.00148618
13,137.832,1.12441,0.83137,0.00779,0.847,0.84414,0.82905,0.64597,0.95031,0.66494,0.00831,0.0015248,0.0015248,0.0015248
14,146.951,1.07487,0.79629,0.00738,0.87886,0.82624,0.83831,0.63379,1.02611,0.65456,0.00839,0.0014852,0.0014852,0.0014852
15,155.659,1.13103,0.84155,0.00797,0.87486,0.84293,0.83407,0.61645,1.08489,0.65463,0.00925,0.0014456,0.0014456,0.0014456
16,164.908,1.19859,0.82773,0.00776,0.86489,0.82979,0.82499,0.62556,0.97554,0.6697,0.00837,0.001406,0.001406,0.001406
17,172.953,1.2545,1.04303,0.00961,0.8628,0.82508,0.82597,0.61807,1.04327,0.67627,0.0089,0.0013664,0.0013664,0.0013664
18,181.206,1.11343,0.79832,0.00815,0.86075,0.8227,0.83351,0.65284,0.92892,0.66436,0.00817,0.0013268,0.0013268,0.0013268
19,191.179,1.14592,0.81104,0.00835,0.83976,0.84752,0.83145,0.63317,0.9917,0.67514,0.00806,0.0012872,0.0012872,0.0012872
20,199.383,1.15967,0.88069,0.00847,0.85098,0.85106,0.82552,0.65563,0.92832,0.66567,0.00761,0.0012476,0.0012476,0.0012476
21,209.672,1.03186,0.77255,0.00708,0.83912,0.84397,0.82383,0.6469,0.9488,0.6922,0.00812,0.001208,0.001208,0.001208
22,216.628,1.15149,0.91582,0.00902,0.87523,0.82086,0.83069,0.65137,0.9063,0.71686,0.00719,0.0011684,0.0011684,0.0011684
23,225.813,1.1279,0.85875,0.00832,0.86483,0.81915,0.83564,0.67365,0.82974,0.67353,0.00739,0.0011288,0.0011288,0.0011288
24,235.388,1.07937,0.83103,0.00738,0.85503,0.82979,0.83985,0.67248,0.83403,0.65953,0.00758,0.0010892,0.0010892,0.0010892
25,243.845,1.11992,0.84921,0.00826,0.84643,0.84046,0.83327,0.66538,0.8392,0.65204,0.0079,0.0010496,0.0010496,0.0010496
26,251.703,1.04366,0.80072,0.00732,0.86475,0.84752,0.83071,0.62586,0.98798,0.66532,0.00837,0.00101,0.00101,0.00101
27,258.329,1.08767,0.827,0.00743,0.86905,0.84043,0.82634,0.61189,1.00624,0.67518,0.00834,0.0009704,0.0009704,0.0009704
28,267.757,1.11856,0.87054,0.00792,0.86181,0.84043,0.82619,0.6524,0.92109,0.66138,0.00828,0.0009308,0.0009308,0.0009308
29,274.397,1.15002,0.88536,0.00785,0.85628,0.83333,0.83458,0.66181,0.91948,0.65941,0.00856,0.0008912,0.0008912,0.0008912
30,282.524,1.07897,0.82658,0.00727,0.86997,0.83333,0.84396,0.66621,0.9101,0.66241,0.00846,0.0008516,0.0008516,0.0008516
31,290.42,1.11602,0.88502,0.00828,0.86669,0.83333,0.83572,0.63951,0.96107,0.67642,0.00849,0.000812,0.000812,0.000812
32,298.92,1.08876,0.83394,0.00779,0.87383,0.83688,0.83609,0.64725,0.93665,0.66619,0.008,0.0007724,0.0007724,0.0007724
33,305.826,1.0642,0.79622,0.00722,0.86444,0.83688,0.84309,0.66651,0.87487,0.64336,0.00752,0.0007328,0.0007328,0.0007328
34,314.968,1.05164,0.82029,0.00736,0.86651,0.83688,0.85034,0.66967,0.84385,0.64055,0.00742,0.0006932,0.0006932,0.0006932
35,322.442,1.071,0.84411,0.00806,0.85923,0.84752,0.86085,0.66997,0.86734,0.64009,0.00736,0.0006536,0.0006536,0.0006536
36,329.592,1.11878,0.85751,0.00988,0.86556,0.84397,0.86266,0.67002,0.85343,0.64125,0.00723,0.000614,0.000614,0.000614
